scenarioId,scenarioType,severity,etaErrorMean,oracleDecision,identifiedDecision,decisionMatch,controllabilityMatch,trimInfoConsistency,conservativeDecision,dangerousMismatch,identifierConfidence,identifierUncertainty
85,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
86,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
87,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
88,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
89,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
90,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
91,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
92,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
93,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
94,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
95,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
96,control,0.5,0.5,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.796862679625437,0.113536455808532
97,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
98,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
99,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
100,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
101,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
102,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
103,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
104,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
105,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
106,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
107,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
108,thrust,0.5,0.759195008465364,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823607873913943,0.0970303717562231
109,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
110,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
111,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
112,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
113,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
114,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
115,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
116,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
117,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
118,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
119,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
120,compound,0.5,0.62530130350248,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.780564483249425,0.123868962283449
121,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
122,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
123,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
124,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
125,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
126,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
127,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
128,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
129,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
130,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
131,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
132,wing,0.8,0.693292167852054,RETURN,UNRECOVERABLE,0,0,0,1,0,0.79449256962271,0.115025822658779
133,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
134,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
135,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
136,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
137,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
138,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
139,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
140,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
141,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
142,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
143,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
144,tail,0.8,0.598628283084412,DIVERT,UNRECOVERABLE,0,0,0,1,0,0.803175129492766,0.109591247400505
145,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
146,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
147,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
148,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
149,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
150,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
151,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
152,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
153,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
154,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
155,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
156,control,0.8,0.2,UNRECOVERABLE,UNRECOVERABLE,1,1,1,1,0,0.735688461914902,0.153474267652771
157,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
158,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
159,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
160,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
